30
84 1 0 01_WOHN
84 1 0 02_WOHN
90 1 0 03_WOHN
90 1 0 04_WOHN
595 1 0 SMALL_HOUSE
597 1 0 A_FRAME_HOUSE
1035 1 0 1_DET_HOUSE
1000 4 0 FOUNTAIN
594 1 0 MED_HOUSE
104 1 0 05_WOHN
772 1 0 SMALL_APS
569 1 0 06_WOHN
766 1 0 SMALL_LUXURY
793 1 0 MODERN_HOUSE
100 1 0 07_WOHN
767 1 0 SMALL_FLATS
99 1 0 08_WOHN
86 1 0 09_WOHN
765 1 0 LARGE_LUXURY
119 1 0 10_WOHN
794 1 0 1_BRICK_HOUSE
576 1 0 11_WOHN
795 1 0 17_WOHN
591 1 1 12_WOHN
588 1 1 18_WOHN
564 1 0 13_WOHN
82 1 0 14_WOHN
562 1 0 15_WOHN
110 1 1 16_WOHN
590 1 1 BIG_APP_TOWER
26
83 1 0 SHOP1
97 1 0 BUERO1
98 1 0 RBUERO1
577 1 0 TRIKKYPARK
571 1 0 WOHNSHOP1
101 1 0 TANKE
572 1 0 BANK
579 1 0 CHEMIST
1004 4 0 ANIM_CINEMA
784 1 0 MEDIUM_OFFICE
108 1 0 BUERO2
1038 1 1 2_MODERN_OFFICES
598 1 0 CINEMA
599 1 0 INSURANCE
1039 1 1 LARGE_OFFICE
1037 1 1 2_LARGE_OFFICE
89 1 1 HOCHHAUS2
88 1 1 HOCHHAUS3
111 1 1 HOCHHAUS4
782 1 1 2_MEDIUM_OFFICE
797 1 1 MODERN_OFFICES
798 1 1 IMPRESSIVE_OFFICES
781 1 1 2_MEDIUM_OFFICE
796 1 1 TALL_MOB
589 1 1 BARCELONA_GRAND
783 1 1 TALL_OFFICE
14
87 1 0 01_FAB
107 1 0 02_FAB
96 1 0 03_FAB
780 1 0 SHEET_METAL
786 1 0 WATER_CISTERN
106 1 0 04_FAB
787 1 0 CEMENT_MILL
105 1 0 05_FAB
109 1 0 06_FAB
785 1 0 SMALL_FACTORY
596 1 0 08_FAB
792 1 0 TRIKKY_POTTERY
578 1 0 MACHINE_FACTORY
799 1 1 TRIKKY_FACTORY
